path,size_bytes,size_human,created_at,updated_at
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/4767a2bd-0179-4df8-83a3-7d2af9715a9a/1774623582266-___2.eps",1519238,"1.45 MB","2026-03-27T14:59:44.652339+00:00","2026-03-27T14:59:44.652339+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/5244fd26-c2a8-4fce-8a82-3fb02ee660de/1771339506425-ChatGPT_Image_12_._2026_._10_37_50.png",2278161,"2.17 MB","2026-02-17T14:45:07.488235+00:00","2026-02-17T14:45:07.488235+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/59b24a31-76ad-433e-8c3c-5c5e01fc7adc/1773041275871-_14.01_.xlsx",11467,"11.2 KB","2026-03-09T07:27:56.499209+00:00","2026-03-09T07:27:56.499209+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/7ca03b49-4095-49fb-bb25-78ac64dc8dfa/1772707911884-IMAGE_2026-03-05_12_51_43.jpg",31675,"30.9 KB","2026-03-05T10:51:52.822635+00:00","2026-03-05T10:51:52.822635+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/86187fba-31fe-404d-b511-322a78359507/1774260418218-pattern-zalivka.ai",546566,"533.8 KB","2026-03-23T10:06:58.603053+00:00","2026-03-23T10:06:58.603053+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/86187fba-31fe-404d-b511-322a78359507/1774260418690-LOGO_upright2.eps",1541610,"1.47 MB","2026-03-23T10:06:59.264262+00:00","2026-03-23T10:06:59.264262+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/8b3c9e5f-481e-407c-bf9f-82f48e19f51b/1773307644897-ag-logo_single_black.ai",3337692,"3.18 MB","2026-03-12T09:27:34.631725+00:00","2026-03-12T09:27:34.631725+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/8b3c9e5f-481e-407c-bf9f-82f48e19f51b/1773307654603-Logo_ProductMAN_black_simple.eps",377090,"368.3 KB","2026-03-12T09:27:35.521545+00:00","2026-03-12T09:27:35.521545+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/8bfe9b61-c383-4022-8c8c-35f0eb30bf35/1772622554923-Eglight_logo_White_background.svg",1609,"1.6 KB","2026-03-04T11:09:15.643861+00:00","2026-03-04T11:09:15.643861+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/8bfe9b61-c383-4022-8c8c-35f0eb30bf35/1772622555542-photo_2026-02-27_14-47-37.jpg",10595,"10.3 KB","2026-03-04T11:09:16.011019+00:00","2026-03-04T11:09:16.011019+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/93a800ce-57a9-4da2-b6c2-63c8b9347ca2/1774010693541-_Petronas_AMG_BM_Parts.ai",376743,"367.9 KB","2026-03-20T12:44:53.852289+00:00","2026-03-20T12:44:53.852289+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/93a800ce-57a9-4da2-b6c2-63c8b9347ca2/1774010694124-_10_3.5_Petronas_AMG.ai",359537,"351.1 KB","2026-03-20T12:44:54.249161+00:00","2026-03-20T12:44:54.249161+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/9d171c0e-cd69-46b5-b8df-61ec44598b3c/1773227662271-Cei_2_.eps",384702,"375.7 KB","2026-03-11T11:14:22.196575+00:00","2026-03-11T11:14:22.196575+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/9fcc6679-d769-435a-a20c-1b0ff56ad1c2/1775112325346-logo-silva-cmyk-niebieskie_2_.eps",26287,"25.7 KB","2026-04-02T06:45:25.805952+00:00","2026-04-02T06:45:25.805952+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a0841cbd-a1ad-4da6-90d2-456a2ae1b3b6/1772796046869-_.eps",5710014,"5.45 MB","2026-03-06T11:20:47.698512+00:00","2026-03-06T11:20:47.698512+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a0aa6490-86ec-41ec-9fc5-16c44192a25e/1772432375310-logo_4_.svg",5876,"5.7 KB","2026-03-02T06:19:35.719709+00:00","2026-03-02T06:19:35.719709+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a367191f-3295-4bf5-a245-b754db6abc60/1774355883162-VITAGRO_agro_LOGO_color_CMYK.eps",1340642,"1.28 MB","2026-03-24T12:38:03.889869+00:00","2026-03-24T12:38:03.889869+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a4f09723-f610-4206-ba27-04f09a1c5e56/1773917953994-ECOORGANIC_Logo_green_black_.ai",59976,"58.6 KB","2026-03-19T10:59:14.195088+00:00","2026-03-19T10:59:14.195088+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a4f09723-f610-4206-ba27-04f09a1c5e56/1773917954397-_.docx",18599,"18.2 KB","2026-03-19T10:59:14.458593+00:00","2026-03-19T10:59:14.458593+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a4f09723-f610-4206-ba27-04f09a1c5e56/1773917963813-_2026.docx",26204,"25.6 KB","2026-03-19T10:59:24.115673+00:00","2026-03-19T10:59:24.115673+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/a4f09723-f610-4206-ba27-04f09a1c5e56/1773917964332-_.docx",298091,"291.1 KB","2026-03-19T10:59:24.508546+00:00","2026-03-19T10:59:24.508546+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/b2f6db42-18f2-4067-9839-7daea6260980/1773139403199-Rosana_bud.ai",1453460,"1.39 MB","2026-03-10T10:43:24.121368+00:00","2026-03-10T10:43:24.121368+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/b4cedf45-61b2-404a-b76e-9b86f4c5c142/1773672691626-_.ai",1430424,"1.36 MB","2026-03-16T14:51:32.47489+00:00","2026-03-16T14:51:32.47489+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/c2096bcd-8fd4-4308-ba48-19cb11aa4d34/1773917743261-ECOORGANIC_Logo_green_black_.ai",59976,"58.6 KB","2026-03-19T10:55:43.66016+00:00","2026-03-19T10:55:43.66016+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/c2096bcd-8fd4-4308-ba48-19cb11aa4d34/1773917743898-_.docx",18599,"18.2 KB","2026-03-19T10:55:43.961273+00:00","2026-03-19T10:55:43.961273+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/c2096bcd-8fd4-4308-ba48-19cb11aa4d34/1773917753863-_2026.docx",26204,"25.6 KB","2026-03-19T10:55:53.936517+00:00","2026-03-19T10:55:53.936517+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/c2096bcd-8fd4-4308-ba48-19cb11aa4d34/1773917754130-_.docx",298091,"291.1 KB","2026-03-19T10:55:54.319947+00:00","2026-03-19T10:55:54.319947+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/c701bbcf-e275-4134-be78-73486926c3e0/1773663814624-_2_.docx",16085,"15.7 KB","2026-03-16T12:23:35.31996+00:00","2026-03-16T12:23:35.31996+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/c8037e12-b706-41e6-a808-aeeaee5368e5/1773062820913-gtpu_logo_white_1_.ai",344987,"336.9 KB","2026-03-09T13:27:01.464516+00:00","2026-03-09T13:27:01.464516+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/cc82e183-b063-4fd7-8de3-bbd59be940f2/1775126493781-_-6.ai",4186000,"3.99 MB","2026-04-02T10:41:42.511027+00:00","2026-04-02T10:41:42.511027+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/cc82e183-b063-4fd7-8de3-bbd59be940f2/1775126502784-__16_4___.ai",1202117,"1.15 MB","2026-04-02T10:41:46.858915+00:00","2026-04-02T10:41:46.858915+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/cddb8c78-1d7e-47b6-a459-1d899e4cb795/1773222834144-_2_.docx",14378,"14.0 KB","2026-03-11T09:53:54.396711+00:00","2026-03-11T09:53:54.396711+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/d3b12f6b-ceea-4902-83da-e4e371fea7a4/1772793414154-Print_ai_.zip",350101,"341.9 KB","2026-03-06T10:36:53.825818+00:00","2026-03-06T10:36:53.825818+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/de1b2929-2173-4911-9aee-5d7a1430b383/1774958169582-Logo_1_.ai",1774039,"1.69 MB","2026-03-31T11:56:09.019447+00:00","2026-03-31T11:56:09.019447+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/de1b2929-2173-4911-9aee-5d7a1430b383/1774958170249-_1_.eps",1415390,"1.35 MB","2026-03-31T11:56:09.85119+00:00","2026-03-31T11:56:09.85119+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/defe6495-4e6d-4e40-8073-caac61399c10/1773820485420-Print_01.eps",1415390,"1.35 MB","2026-03-18T07:54:45.185385+00:00","2026-03-18T07:54:45.185385+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/e5f6ce73-40ec-4602-a63b-750162f8abb9/1772714229569-____02_02_2_.png",3255163,"3.10 MB","2026-03-05T12:37:10.71517+00:00","2026-03-05T12:37:10.71517+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/e8fabc81-8778-49da-a9c3-fe2d1679f86d/1775022300073-VZT_t-shirt_final__urves.ai",1582027,"1.51 MB","2026-04-01T05:45:01.110507+00:00","2026-04-01T05:45:01.110507+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/f073d310-b304-4b3c-b04f-fa7c5f5df7a7/1773410115088-____50_37____.ai",1419726,"1.35 MB","2026-03-13T13:55:18.229364+00:00","2026-03-13T13:55:18.229364+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/f073d310-b304-4b3c-b04f-fa7c5f5df7a7/1773410118168-____50_46____.ai",1437383,"1.37 MB","2026-03-13T13:55:20.91035+00:00","2026-03-13T13:55:20.91035+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/f66442e9-925f-4b96-82e9-bcd443b663cf/1773051636522-_.ai",3048377,"2.91 MB","2026-03-09T10:20:38.898596+00:00","2026-03-09T10:20:38.898596+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/fb53b29d-db98-4fd3-8753-082c3eecaaf1/1773222669429-new_logo.jpg",247151,"241.4 KB","2026-03-11T09:51:10.017495+00:00","2026-03-11T09:51:10.017495+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/215bdaa0-1874-4dd3-87df-378ec2876ae3/1770709719062-checkmark.svg",558,"558 B","2026-02-10T07:48:39.470972+00:00","2026-02-10T07:48:39.470972+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/340e5628-8800-4867-b48f-c53febd996b9/1773749850726-_45_45_.cdr",508085,"496.2 KB","2026-03-17T12:17:31.308503+00:00","2026-03-17T12:17:31.308503+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/340e5628-8800-4867-b48f-c53febd996b9/1774623254053-_45_45_.ai",1421231,"1.36 MB","2026-03-27T14:54:14.200307+00:00","2026-03-27T14:54:14.200307+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/340e5628-8800-4867-b48f-c53febd996b9/1774623291493-_45_45_.ai",1421231,"1.36 MB","2026-03-27T14:54:51.783281+00:00","2026-03-27T14:54:51.783281+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/88917bcf-a4d0-4671-ae17-f412501b30dd/1774467979350-logo.svg",9134,"8.9 KB","2026-03-25T19:46:19.596373+00:00","2026-03-25T19:46:19.596373+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/a75ba17f-7876-40c7-9924-89fbb1361678/1771709555447-Artboard_1_copy_13.png",4375608,"4.17 MB","2026-02-21T21:32:36.772947+00:00","2026-02-21T21:32:36.772947+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/d5644e24-dc15-4d71-96df-addc4e3e55ad/1772631015795-TROUW_NUTRITION___MILKIWEAN.ai",1160915,"1.11 MB","2026-03-04T13:30:17.604312+00:00","2026-03-04T13:30:17.604312+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-00dd1763-cc37-4534-983f-5dd4c131e37f/1773210203100-Rosana_logo____.cdr",540696,"528.0 KB","2026-03-11T06:23:23.885094+00:00","2026-03-11T06:23:23.885094+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-00dd1763-cc37-4534-983f-5dd4c131e37f/1773210204076-Rosana_logo____.cdr",531114,"518.7 KB","2026-03-11T06:23:25.288613+00:00","2026-03-11T06:23:25.288613+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-00dd1763-cc37-4534-983f-5dd4c131e37f/1773210205503-Rosana_logo__.cdr",540731,"528.1 KB","2026-03-11T06:23:26.321944+00:00","2026-03-11T06:23:26.321944+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-06dea7b5-2896-4e72-b306-49fe6d1fc664/1773313643138-______100_62___.cdr",525632,"513.3 KB","2026-03-12T11:07:24.926056+00:00","2026-03-12T11:07:24.926056+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-09b552a8-993c-42d2-8f90-ebe17ae3297a/1772797369866-______02.pdf",11763881,"11.22 MB","2026-03-06T11:42:53.886168+00:00","2026-03-06T11:42:53.886168+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-133d6146-0b17-4ecb-9484-55ff9f52fdbf/1772694280996-GE__.ai",1501908,"1.43 MB","2026-03-05T07:04:42.12022+00:00","2026-03-05T07:04:42.12022+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-231a1bcd-9daa-4bd2-8bb1-f32818b3ef20/1774356290501-_23_5_5_5_.ai",1436715,"1.37 MB","2026-03-24T12:44:50.86855+00:00","2026-03-24T12:44:50.86855+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-25615503-8005-4c59-b8d4-df5f246aa334/1773667182717-_23223.ai",1150725,"1.10 MB","2026-03-16T13:19:43.965238+00:00","2026-03-16T13:19:43.965238+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-27cf280e-44e8-4e0a-990c-a8f4fb1c6cfd/1774598145199-_.png",9026778,"8.61 MB","2026-03-27T07:56:04.520471+00:00","2026-03-27T07:56:04.520471+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-2cee9feb-2279-42a1-9567-1a44d87e7e8b/1772007833192-____270_150_.ai",1589669,"1.52 MB","2026-02-25T08:23:53.934393+00:00","2026-02-25T08:23:53.934393+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-328ec9d5-2a5d-410e-b118-bce7a4e4d05c/1772112139251-____40___.ai",1421826,"1.36 MB","2026-02-26T13:22:20.36863+00:00","2026-02-26T13:22:20.36863+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-36a63c1f-2c8c-45c1-a722-ec427c0684b7/1773674840447-_.psd",21761787,"20.75 MB","2026-03-16T15:27:33.865607+00:00","2026-03-16T15:27:33.865607+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-37fbb3f0-fb53-4bcc-879b-12d72fe6d3ab/1773228482116-____30_30___.ai",1789755,"1.71 MB","2026-03-11T11:28:03.25139+00:00","2026-03-11T11:28:03.25139+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-37fbb3f0-fb53-4bcc-879b-12d72fe6d3ab/1773228483476-____45_28___.ai",1800360,"1.72 MB","2026-03-11T11:28:04.172732+00:00","2026-03-11T11:28:04.172732+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-54236c5c-790b-440f-a2f4-347a80718e7e/1772716107417-_-_____-01.png",4698025,"4.48 MB","2026-03-05T13:08:33.034665+00:00","2026-03-05T13:08:33.034665+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-54236c5c-790b-440f-a2f4-347a80718e7e/1772716110863-_-_____-02.png",4634375,"4.42 MB","2026-03-05T13:08:35.810097+00:00","2026-03-05T13:08:35.810097+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-54236c5c-790b-440f-a2f4-347a80718e7e/1772716113629-_-_____-03.png",5033987,"4.80 MB","2026-03-05T13:08:39.006955+00:00","2026-03-05T13:08:39.006955+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-542994b7-7c40-4446-a279-56d2ba48d5c9/1774003311943-_.mp4",16514122,"15.75 MB","2026-03-20T10:41:57.317652+00:00","2026-03-20T10:41:57.317652+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-6350034d-0d11-4ebd-9851-527eec651c29/1773909364771-Artboard_1_copy_10_4_copy_15.png",2960771,"2.82 MB","2026-03-19T08:36:22.184909+00:00","2026-03-19T08:36:22.184909+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-6350034d-0d11-4ebd-9851-527eec651c29/1774448725730-Ciklum___101_180mm_DTF.ai",1584485,"1.51 MB","2026-03-25T14:25:29.098969+00:00","2026-03-25T14:25:29.098969+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-70c27ec2-44a7-4236-a9ae-8e05ab9a4000/1773747287505-video.mp4",3326509,"3.17 MB","2026-03-17T11:34:48.374558+00:00","2026-03-17T11:34:48.374558+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-74b42d2e-202d-4788-8904-68b07f3f5343/1773042969373-_____.pdf",11376367,"10.85 MB","2026-03-09T07:56:21.822478+00:00","2026-03-09T07:56:21.822478+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7a1f01ca-8ac0-4c1f-953e-c5ee54468c58/1773738654415-___1__-50__200___.cdr",511456,"499.5 KB","2026-03-17T09:11:06.397901+00:00","2026-03-17T09:11:06.397901+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7a1f01ca-8ac0-4c1f-953e-c5ee54468c58/1773738655844-___2__-50__200___.cdr",513174,"501.1 KB","2026-03-17T09:11:07.185271+00:00","2026-03-17T09:11:07.185271+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7d95f611-c2cc-402d-a897-d952fc446a0b/1775034147637-______1__L.ai",1637336,"1.56 MB","2026-04-01T09:02:28.670681+00:00","2026-04-01T09:02:28.670681+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7e9a059f-16f8-42d9-b33b-5486ade4d7b0/1774350338823-_-_20_3_6_.ai",1412742,"1.35 MB","2026-03-24T11:05:38.733227+00:00","2026-03-24T11:05:38.733227+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7e9a059f-16f8-42d9-b33b-5486ade4d7b0/1774350339979-_-_25_4_5_.ai",1422320,"1.36 MB","2026-03-24T11:05:40.262587+00:00","2026-03-24T11:05:40.262587+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7e9a059f-16f8-42d9-b33b-5486ade4d7b0/1774350341377-_-_7_7_.ai",1416680,"1.35 MB","2026-03-24T11:05:41.403106+00:00","2026-03-24T11:05:41.403106+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7fe5b258-3530-42cd-8f2b-df1807264315/1772696475220-edlight__-_.png",2373073,"2.26 MB","2026-03-05T07:41:19.305716+00:00","2026-03-05T07:41:19.305716+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-7fe5b258-3530-42cd-8f2b-df1807264315/1772697070623-edlight__-__print.pdf",1421816,"1.36 MB","2026-03-05T07:51:14.001646+00:00","2026-03-05T07:51:14.001646+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-91155c00-358f-4cdc-a834-93d648017a05/1775028504804-INTER_CARS_60___.cdr",31325,"30.6 KB","2026-04-01T07:28:29.214049+00:00","2026-04-01T07:28:29.214049+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-outputs/standalone-93538c6a-757d-4cbc-bfa0-2fae111ba94c/1775193550685-ToSho______.ai",2216554,"2.11 MB","2026-04-03T05:19:11.657612+00:00","2026-04-03T05:19:11.657612+00:00"
